,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
101,1,0,84,,1,61262,157.8,0,321,3,2,Oscar,3.0,6,0,35.3,84,False,81.2,0,416,74,0,0,0,2.6,0,0,dos Santos Emboaba Junior,1.1,a,4,115.0,13,20326,39743,1.8,1,MID,4,Chelsea,1.2,Liverpool,2.1324324324324326,1.0972972972972974,1.554054054054054,1287.3999999999999
103,0,3,80,100.0,1,47431,259.5,1,512,3,1,Willian,4.7,5,1,45.0,86,False,95.2,0,314,74,0,0,0,4.0,0,0,Borges Da Silva,6.4,a,4,95.0,16,89675,221153,2.2,1,MID,4,Chelsea,1.2,Liverpool,3.5067567567567566,1.2864864864864864,1.2837837837837838,2552.308
104,2,0,86,,1,62398,80.3,0,373,3,5,Nemanja,4.3,6,0,21.8,87,False,80.8,0,415,50,0,0,0,3.2,0,0,Matic,2.6,a,4,57.0,16,34374,38348,3.2,1,MID,4,Chelsea,1.2,Liverpool,1.6059999999999999,1.6159999999999999,1.14,1141.396
107,1,0,36,,0,49579,31.9,0,399,3,1,Pedro,1.7,1,0,7.1,90,False,32.2,0,98,72,0,0,0,1.8,0,0,Rodríguez Ledesma,0.3,a,4,10.0,7,2055,14703,1.0,1,MID,4,Chelsea,1.2,Liverpool,0.44305555555555554,0.44722222222222224,0.1388888888888889,158.164
109,0,0,35,,0,49013,25.0,0,127,3,1,Victor,2.7,0,1,11.3,92,False,41.6,0,61,55,0,0,0,2.0,0,0,Moses,0.2,a,4,49.0,10,3698,3750,1.8,0,MID,4,Chelsea,1.2,Liverpool,0.45454545454545453,0.7563636363636363,0.8909090909090909,384.544
111,0,0,65,,1,116594,44.8,0,501,3,2,N'Golo,2.3,6,0,12.6,95,False,51.2,0,450,49,0,0,0,2.0,0,0,Kanté,17.1,a,4,30.0,10,67797,361540,2.0,1,MID,4,Chelsea,1.2,Liverpool,0.9142857142857143,1.0448979591836736,0.6122448979591837,357.75999999999993
113,1,1,40,,0,94245,11.8,0,0,4,0,Michy,0.7,0,1,11.1,96,False,49.0,0,38,88,0,0,0,3.0,0,0,Batshuayi,1.6,a,4,51.0,12,35650,79545,1.3,0,FWD,4,Chelsea,1.2,Liverpool,0.1340909090909091,0.5568181818181818,0.5795454545454546,105.91199999999999
114,1,3,134,100.0,1,18507,93.4,1,533,4,6,Diego,7.7,6,5,62.9,97,True,216.4,0,439,100,0,0,0,6.6,0,0,Da Silva Costa,27.2,a,4,319.0,33,841621,145946,3.3,3,FWD,4,Chelsea,1.2,Liverpool,0.934,2.164,3.19,5843.111999999999
116,0,0,29,100.0,0,20066,0.0,0,266,1,0,Wayne,0.0,2,0,4.4,100,False,44.2,0,180,45,0,0,0,2.5,0,6,Hennessey,3.2,a,5,0.0,5,11809,61713,1.1,0,GKP,5,Crystal Palace,1.0,Stoke,0.0,0.9822222222222223,0.0,5.0
117,0,0,42,,0,44413,0.0,0,0,1,3,Steve,2.7,3,0,6.0,102,False,61.0,0,270,44,0,0,0,2.7,0,8,Mandanda,3.7,a,5,0.0,8,21823,53492,1.8,0,GKP,5,Crystal Palace,1.0,Stoke,0.0,1.3863636363636365,0.0,172.70000000000002
118,0,0,24,100.0,0,49413,0.3,0,221,2,7,James,2.3,1,1,8.2,103,False,43.6,0,54,50,0,0,0,4.0,0,0,Tomkins,0.1,d,5,38.0,8,565,1211,1.6,0,DEF,5,Crystal Palace,1.0,Stoke,0.006,0.872,0.76,196.36999999999998
119,0,1,94,,0,19188,13.6,1,480,2,8,Scott,6.3,5,2,33.6,104,True,155.6,0,450,55,0,0,0,4.4,0,0,Dann,7.2,d,5,166.0,22,64192,72508,4.0,1,DEF,5,Crystal Palace,1.0,Stoke,0.24727272727272726,2.829090909090909,3.018181818181818,2133.76
120,0,0,68,,0,55494,17.6,0,333,2,2,Joel,1.7,5,0,15.4,105,False,84.8,0,447,49,0,0,0,1.8,0,0,Ward,0.9,a,5,51.0,9,4149,15554,1.8,1,DEF,5,Crystal Palace,1.0,Stoke,0.3591836734693878,1.730612244897959,1.0408163265306123,269.78000000000003
121,1,0,42,,0,58786,18.0,0,96,2,5,Martin,2.7,2,0,6.8,106,False,48.0,0,184,44,0,0,0,2.3,0,0,Kelly,0.6,a,5,2.0,9,12743,6131,2.0,0,DEF,5,Crystal Palace,1.0,Stoke,0.4090909090909091,1.0909090909090908,0.045454545454545456,192.60000000000002
122,0,0,78,100.0,1,7906,15.4,0,366,2,1,Damien,1.3,4,0,11.8,107,False,94.4,0,396,50,0,0,0,2.4,0,0,Delaney,0.9,a,5,9.0,12,4251,15231,2.4,1,DEF,5,Crystal Palace,1.0,Stoke,0.308,1.8880000000000001,0.18,166.44000000000003
123,0,0,37,0.0,0,79228,33.5,0,354,2,0,Pape,0.7,3,0,9.7,108,False,53.6,0,270,44,0,0,0,2.0,0,0,Souaré,0.7,i,5,9.0,6,19887,35146,1.3,0,DEF,5,Crystal Palace,1.0,Stoke,0.7613636363636364,1.2181818181818183,0.20454545454545456,73.27
125,3,4,121,,0,19197,234.6,0,381,3,8,Jason,6.0,5,0,42.6,110,False,130.4,0,436,55,0,0,0,4.4,0,0,Puncheon,1.5,a,5,60.0,22,36867,24798,4.0,1,MID,5,Crystal Palace,1.0,Stoke,4.265454545454546,2.370909090909091,1.0909090909090908,2572.0
126,1,3,65,,0,82403,84.1,0,353,3,2,Wilfried,5.0,4,1,35.4,111,False,110.0,0,385,54,0,0,0,3.4,0,0,Zaha,3.0,a,5,159.0,17,73222,42733,3.1,3,MID,5,Crystal Palace,1.0,Stoke,1.5574074074074074,2.037037037037037,2.9444444444444446,1782.5
127,0,0,8,0.0,0,59115,31.2,0,118,3,0,Mile,0.0,1,0,4.3,112,False,11.8,0,90,45,0,0,0,2.0,0,0,Jedinak,0.3,u,5,0.0,2,1026,21682,0.4,0,MID,5,Crystal Palace,1.0,Stoke,0.6933333333333334,0.26222222222222225,0.0,2.0
128,0,0,33,100.0,1,18805,4.4,0,121,3,3,Joe,1.7,1,0,2.7,113,False,23.0,0,205,45,0,0,0,2.0,0,0,Ledley,0.5,a,5,0.0,6,2033,10046,1.3,0,MID,5,Crystal Palace,1.0,Stoke,0.09777777777777778,0.5111111111111111,0.0,52.58
129,0,2,53,100.0,0,50471,12.2,0,282,3,8,James,4.0,3,1,16.8,114,False,74.2,0,245,49,0,0,0,4.0,0,0,McArthur,0.1,a,5,81.0,12,1339,741,2.4,1,MID,5,Crystal Palace,1.0,Stoke,0.24897959183673468,1.5142857142857142,1.653061224489796,681.5999999999999
