,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
48,0,0,25,,,3,75115,0,0,-1,1,39.6,0,165,4,1.3,1.3,1,Callum,2.8,5,1,19.4,49,False,42.2,0,0,0,0,345,,64,0,0,0,75115.jpg,2.6,0,0,Wilson,2.0,False,13.0,a,2,91,119.0,13,25241,2051,55897,4933,0.4,2.0,Callum Wilson,0
49,0,0,0,0.0,0.0,0,126468,0,0,0,0,0.0,0,3,4,0.0,0.0,0,Tokelo,0.0,0,0,0.0,50,False,0.0,0,0,0,0,0,Joined Turkish outfit Genclerbirligi on 26/8,45,0,0,0,126468.jpg,0.0,0,0,Rantie,0.4,False,9.0,u,2,91,0.0,0,1285,23,9630,539,0.0,0.0,Rantie,0
50,1,0,17,,,0,21246,0,0,0,0,11.8,0,124,4,-1.0,-1.0,0,Lewis,0.5,2,0,5.3,51,False,24.2,0,0,0,0,60,,45,0,0,0,21246.jpg,2.0,0,0,Grabban,3.6,False,28.0,a,2,91,17.0,6,43272,2811,74522,6147,0.1,1.3,Grabban,0
51,0,0,-1,100.0,100.0,0,88498,-1,1,-3,3,10.5,0,146,4,-1.5,-1.5,0,Benik,0.0,0,0,1.4,52,False,1.2,0,0,0,0,23,,57,0,0,0,88498.jpg,1.0,0,0,Afobe,0.4,False,9.0,a,2,91,2.0,1,2281,129,15637,809,0.0,0.2,Afobe,0
52,0,0,0,,,0,178304,0,0,-2,2,0.0,0,0,4,-1.5,-1.5,0,Lys,0.0,0,0,0.0,53,False,0.0,0,0,0,0,0,,53,0,0,0,178304.jpg,0.0,0,0,Mousset,0.1,False,31.0,a,2,91,0.0,0,332,57,1655,66,0.0,0.0,Mousset,0
53,0,3,105,,,1,21205,1,-1,1,-1,0.0,1,0,1,1.3,1.3,2,Tom,2.3,8,0,16.0,54,False,158.6,0,0,0,0,450,,46,0,0,0,21205.jpg,4.2,0,24,Heaton,8.1,False,1.0,a,3,90,0.0,21,152823,5426,47675,6674,0.5,4.6,Heaton,0
54,0,1,77,,,1,68983,0,0,0,0,92.2,0,0,2,0.0,0.0,0,Matthew,1.0,8,0,20.5,55,False,103.0,0,0,0,0,450,,45,0,0,0,68983.jpg,2.2,0,0,Lowton,0.5,False,2.0,a,3,90,10.0,11,9311,465,6061,699,0.2,2.4,Lowton,2
55,0,0,80,,,1,51927,0,0,0,0,13.2,0,0,2,-0.7,-0.7,-1,Ben,0.3,8,0,14.5,56,False,115.0,0,0,0,0,450,,45,1,0,0,51927.jpg,1.8,0,0,Mee,0.7,False,6.0,a,3,90,16.0,9,8268,191,9655,1264,0.1,2.0,Mee,1
56,0,0,78,75.0,75.0,1,40616,0,0,0,0,47.4,0,0,2,0.2,0.2,1,Stephen,1.3,8,0,13.6,57,False,86.0,0,0,0,0,450,,45,0,0,0,40616.jpg,2.2,0,0,Ward,0.2,False,23.0,a,3,90,3.0,11,3731,387,1701,242,0.3,2.4,Ward,1
57,0,0,90,,,1,106611,0,0,0,0,5.0,0,0,2,0.0,0.0,1,Michael,1.0,8,0,13.6,58,False,125.8,0,0,0,0,450,,50,0,0,0,106611.jpg,2.2,0,0,Keane,0.9,False,5.0,a,3,90,4.0,11,3482,118,11475,1026,0.2,2.2,Keane,1
