,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
317,1,0,56,,,0,37869,0,0,0,0,11.9,0,176,2,0.8,0.3,0,Ryan,1.3,10,0,14.3,318,False,81.8,0,0,0,0,360,,50,0,0,0,37869.jpg,1.3,0,0,Shawcross,1.8,False,17.0,a,14,110,49.0,5,3917,391,18622,4158,0.3,1.0,Shawcross,2,0.23800000000000002,1.636,0.98,190.51000000000002
318,0,0,0,,,0,32318,0,0,0,0,0.0,0,14,2,-1.5,-0.5,0,Marc,0.0,0,0,0.0,319,False,0.0,0,0,0,0,0,,40,0,0,0,32318.jpg,0.0,0,0,Wilson,1.8,False,20.0,a,2,91,0.0,0,13520,2320,16303,2593,0.0,0.0,Marc Wilson,0,0.0,0.0,0.0,0.0
319,0,0,37,,,0,50089,0,0,-1,1,2.2,0,293,2,0.2,-0.3,0,Geoff,0.7,5,0,8.2,320,False,40.0,0,0,0,0,180,,44,0,0,0,50089.jpg,1.0,0,0,Cameron,0.3,False,20.0,a,14,110,40.0,2,1828,392,4940,677,0.2,0.5,Cameron,0,0.05,0.9090909090909091,0.9090909090909091,59.54
320,0,0,43,,,0,39487,0,0,0,0,46.7,0,388,2,-0.2,-0.7,0,Erik,0.3,10,0,10.8,321,False,56.6,0,0,0,0,360,,45,0,0,0,39487.jpg,0.8,0,0,Pieters,3.7,False,3.0,a,14,110,4.0,3,10483,1316,61699,10672,0.1,0.7,Pieters,1,1.037777777777778,1.2577777777777779,0.08888888888888889,35.190000000000005
321,0,0,0,,,0,61595,0,0,-1,1,0.0,0,111,2,-0.5,-1.0,0,Marc,0.0,0,0,0.0,322,False,0.0,0,0,0,0,0,,44,0,0,0,61595.jpg,0.0,0,0,Muniesa,0.1,False,5.0,a,14,110,0.0,0,320,58,2125,296,0.0,0.0,Muniesa,0,0.0,0.0,0.0,0.0
322,0,0,29,,,0,17997,0,0,0,0,37.6,0,107,2,0.2,-0.3,0,Phil,0.7,6,0,10.4,323,False,37.8,0,0,0,0,270,,45,0,0,0,17997.jpg,1.0,0,0,Bardsley,0.2,False,2.0,a,14,110,28.0,3,1154,97,1623,332,0.2,0.7,Bardsley,1,0.8355555555555556,0.84,0.6222222222222222,75.38
323,0,0,23,0.0,0.0,0,69960,0,0,0,0,3.4,0,330,2,0.0,0.0,0,Philipp,0.0,5,0,5.0,324,False,36.4,0,0,0,0,180,Joined Wolfsburg in season-long loan deal,45,0,0,0,69960.jpg,0.5,0,0,Wollscheid,0.6,False,26.0,u,14,110,10.0,1,713,0,30950,5502,0.0,0.2,Wollscheid,1,0.07555555555555556,0.8088888888888889,0.2222222222222222,1.0
324,0,0,0,75.0,75.0,0,9047,-1,1,-2,2,0.0,0,324,2,-0.4,-0.8,0,Glen,0.0,0,0,0.0,325,False,0.0,0,0,0,0,0,Thigh injury - 75% chance of playing,48,0,0,0,9047.jpg,0.0,0,0,Johnson,0.1,False,8.0,d,14,110,0.0,0,150,62,5840,460,0.0,0.0,Johnson,0,0.0,0.0,0.0,0.0
325,0,0,0,0.0,0.0,0,155706,0,0,0,0,0.0,0,12,2,0.0,0.0,0,Dionatan do Nascimento,0.0,0,0,0.0,326,False,0.0,0,0,0,0,0,Omitted from 25 man squad,40,0,0,0,155706.jpg,0.0,0,0,Teixeira,0.9,False,23.0,u,14,110,0.0,0,2760,61,15572,3278,0.0,0.0,Teixeira,0,0.0,0.0,0.0,0.0
326,0,0,0,0.0,0.0,0,20481,0,0,0,0,0.0,0,18,3,0.0,0.0,0,Stephen,0.0,0,0,0.0,327,False,0.0,0,0,0,0,0,Broken Leg - Expected back 04 Feb,45,0,0,0,20481.jpg,0.0,0,0,Ireland,0.0,False,7.0,i,14,110,0.0,0,88,16,212,24,0.0,0.0,Ireland,0,0.0,0.0,0.0,0.0
